Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
DANGRO INVEST A/S;EUR/DKK;2013;183011,667085725;507,486595527;171006,240590592;11497,9398996058;28923,2535878222;13207,9112284769;1357,4496293654;14357,8927299798;2969,6470826138;211934,920673547;113046,69074231;67895,6525374262;45151,0382048835;82129,2519022308;n.a.;n.a.;2106,9600512627;16759,2459026382;n.a.;7379,7846204643;n.a.;211934,920673547;31658,1094321254;n.a.;20862,5341952124;4187,8024234207;6607,7728134922;513,3798154275;4483,1331025279;2638,0195263919;-351,5841417942;n.a.;n.a.;2989,6036681861;n.a.;n.a.;3876,5332632189;74,7367432843;n.a.;216;0,13394;A-;DK;31.12.;DK19950530
DANGRO INVEST A/S;EUR/DKK;2012;186050,535240152;427,5028711333;179727,85884813;5895,1735208886;26789,6442064726;12678,0315749451;1536,3049607677;12575,3076707598;4476,5925650476;212840,179446625;105310,617986323;67891,9291803034;37418,6888060201;90852,2619546192;n.a.;n.a.;3057,8776797358;16677,1655762113;n.a.;1489,6975048923;n.a.;212840,179446625;34000,674779017;n.a.;21640,5917680038;4667,0402726766;7693,0427383366;4325,3861923943;4758,3801718348;7260,182688367;1765,9940033723;n.a.;n.a.;5494,1886849947;n.a.;n.a.;4246,7695929722;2604,3924912466;n.a.;226;0,13393;A-;DK;31.12.;DK19950530
DANGRO INVEST A/S;EUR/DKK;2011;170242,475978831;497,8322149881;167404,657486639;2339,9862772042;20707,8562552745;13304,4011672634;373,8113281416;7029,6437598696;1529,815125928;190950,332234105;89738,2585101533;67903,7222676483;21834,5362425051;74521,4875508106;n.a.;n.a.;2034,7765242164;26690,7206860338;n.a.;3638,0356894266;n.a.;190950,332234105;25875,0345061668;n.a.;14015,5708296903;5703,0776144461;6156,3860620305;940,3796311758;6198,3540844775;898,4116087288;-129,6704283298;n.a.;n.a.;1028,0820370586;n.a.;n.a.;4072,5123320668;1630,5652823793;n.a.;210;0,13451;A-;DK;31.12.;DK19950530
DANGRO INVEST A/S;EUR/DKK;2010;181276,390560056;617,5364212713;180268,929328979;389,9248098057;18962,3926474694;11001,0502047444;628,7304349499;7332,6120077751;1047,8396375606;200238,783207525;96753,3250381842;60890,5037152631;35862,821322921;89309,7057280959;n.a.;n.a.;4902,9779912413;14175,6191791777;n.a.;3424,7018753237;n.a.;200238,783207525;23170,808742365;n.a.;14323,4068121492;6507,5865472464;2339,8153829695;762,1257646203;9262,7797949337;-6160,8386473439;327,5581621676;n.a.;n.a.;-6488,5300715792;n.a.;n.a.;3488,4011436379;2852,2080329022;n.a.;215;0,13326;A-;DK;31.12.;DK19950530
DANGRO INVEST A/S;EUR/DKK;2009;183526,105712529;995,3376140871;180972,493637044;1558,2744613986;21821,9947748514;11263,4180556761;1251,0599357928;9307,5167833825;4211,3935490961;205348,100487381;110222,740462433;61111,6163183955;49111,1241440372;88673,1862573066;n.a.;n.a.;7429,5894198516;6452,3075136256;n.a.;2222,0557807636;n.a.;205348,100487381;26042,0818129176;n.a.;12143,3328854367;5970,1532407442;7928,5956867367;1668,2136603746;4128,3372929354;5468,472054176;1928,2158535734;n.a.;n.a.;3540,1224546184;n.a.;n.a.;3471,6445107307;2498,5087300135;n.a.;215;0,13375;A-;DK;31.12.;DK19950530
EUROPEAN ENERGY A/S;EUR/DKK;2013;116947,064758763;12192,938037423;50170,0525079136;54583,94027661;30904,0451584867;17442,0557902065;n.a.;n.a.;5109,957401041;147850,975980433;54194,0502054622;1340,0378432956;52854,0123621666;52173,0775900212;23768,0255429997;28405,0520470215;932,0663019984;41483,9821217659;n.a.;3344,9380408261;n.a.;147850,975980433;29963,0050898216;n.a.;13257,0660399202;7704,983209522;9000,9558403794;2005,9716920578;4268,0305761578;6739,0308930954;776,0299114498;n.a.;n.a.;5963,0009816456;n.a.;n.a.;3914,9731293884;1651,0391298656;n.a.;41;0,13394; D;DK;31.12.;DK18351331
EUROPEAN ENERGY A/S;EUR/DKK;2012;111429,051935213;250,9838284787;51879,053779788;59299,0143269464;25586,0200514365;7472,059111341;3878,0617595668;14235,8991805287;6298,0333693752;137014,938057179;47782,0173352892;1339,9643564189;46442,0529788704;47868,9375619075;n.a.;n.a.;762,996195754;41363,9831599819;n.a.;5256,0620857231;n.a.;137014,938057179;35682,0253567764;n.a.;20554,0219705399;7297,0132928663;7830,9900933702;2818,0099973423;4624,986418812;6024,0136719006;445,9851381184;n.a.;n.a.;5578,0285337822;n.a.;n.a.;3362,0315081643;1699,9667742154;n.a.;38;0,13393; D;DK;31.12.;DK18351331
EUROPEAN ENERGY A/S;EUR/DKK;2011;107354,066906489;269,9673751638;59419,0525500575;47665,0469812682;35619,9555131992;10172,9410308347;7256,0289578769;18190,9855244877;7737,0470613077;142974,022419689;42956,0196420888;1340,0174346694;41616,0022074195;57163,9439079944;n.a.;n.a.;2148,9779699135;42854,0588696054;n.a.;7622,9801285031;n.a.;142974,022419689;56592,936679509;n.a.;45084,955191026;7873,039595583;3634,9418929001;2519,9645273134;6438,0560588381;16,9486244497;-1108,1172080713;n.a.;n.a.;1125,065832521;n.a.;n.a.;3111,9557670223;3012,954278173;n.a.;39;0,13451; D;DK;31.12.;DK18351331
EUROPEAN ENERGY A/S;EUR/DKK;2010;132816,039462509;261,0603904338;93242,0028189186;39312,9762531569;51191,0241247951;22426,0070465331;6160,0390749383;22604,9780033237;8406,9707967887;184007,063587304;43245,9396543176;1339,9500897459;41905,9895645717;88920,9802768986;n.a.;n.a.;2136,9905160781;51840,0103940206;n.a.;5612,9982874289;n.a.;184007,063587304;58994,9840656813;n.a.;40477,9532481404;8003,0534698847;10513,9773476562;1759,0592923566;7686,0230110577;4587,0136289552;97,0147852148;n.a.;n.a.;4489,9988437403;n.a.;n.a.;3105,9390096179;2868,0662189469;n.a.;43;0,13326; D;DK;31.12.;DK18351331
EUROPEAN ENERGY A/S;EUR/DKK;2009;157352,952835139;2659,9401328895;120874,939370517;33817,9395857485;41110,9743557771;n.a.;10357,0215210526;n.a.;10082,0397776284;198464,0609369;40611,968088892;1340,0010152564;39271,9670736356;89195,9993093714;n.a.;n.a.;3042,0524096224;68655,9597926528;n.a.;5093,9832985399;n.a.;198464,0609369;28677,947668659;n.a.;14935,0128127196;6509,9520327967;7232,9828231427;2413,045046138;6637,0107177447;6115,0001415848;146,0506146981;n.a.;n.a.;5968,9495268868;n.a.;n.a.;1621,0013279676;3562,05679602;n.a.;35;0,13375; D;DK;31.12.;DK18351331
