Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
BASF BUSINESS SERVICES LIMITED;EUR/GBP;2012;175,811733252;2,3919963708;173,4197368812;0;2792,6557628803;0;0;2792,6557628803;n.a.;2968,4674961323;1927,949074845;1841,8372054971;86,1118693479;0;n.a.;n.a.;n.a.;1040,5184212873;325,3115064255;3,5879945562;711,6189203057;2968,4674961323;4307,9854637666;n.a.;4108,2537668068;172,2237386958;27,5079582639;8,3719872977;n.a.;35,8799455616;20,3319691516;n.a.;n.a.;15,54797641;745,1068694965;n.a.;2954,1155179077;217,6716697406;n.a.;33;1,196;D ;GB;31.12.;GB03535585
BASF BUSINESS SERVICES LIMITED;EUR/GBP;2011;325,0167720347;2,3898292061;322,6269428286;0;2592,9646886591;0;0;2592,9646886591;n.a.;2917,9814606938;1910,6684503069;1840,1684887258;70,4999615811;0;n.a.;n.a.;n.a.;1007,3130103869;260,491383469;9,5593168245;737,2623100934;2917,9814606938;4111,7011491595;n.a.;3850,0148510874;152,9490691928;108,7372288793;8,3644022215;n.a.;117,1016311007;69,305046978;n.a.;n.a.;47,7965841227;921,279158966;n.a.;2756,6679892796;212,6947993462;n.a.;36;1,19491;D ;GB;31.12.;GB03535585
STRUCTURED RETAIL PRODUCTS LIMITED;EUR/GBP;2013;0;n.a.;n.a.;n.a.;2940,5805253556;0;566,1552005162;2374,4253248394;60,1733664793;2940,5805253556;651,6303498674;0,0119607558;651,6183891116;0;n.a.;n.a.;n.a.;2288,9501754882;0;0;2288,9501754882;2940,5805253556;3690,5270920277;n.a.;705,8723775331;2093,823601037;890,8311134576;0,2774895351;n.a.;891,1086029927;243,7003999315;n.a.;n.a.;647,4082030612;2943,4008715791;n.a.;1524,0490758082;n.a.;n.a.;24;1,19608;D ;GB;30.09.;GB03984643
STRUCTURED RETAIL PRODUCTS LIMITED;EUR/GBP;2012;0;n.a.;n.a.;n.a.;2800,1451629088;0;338,0938745975;2462,0512883114;1415,8872940616;2800,1451629088;882,3456354768;0,0125220417;882,3331134351;65,2849167812;0;65,2849167812;0;1852,5146106508;0;0;1852,5146106508;2800,1451629088;3955,7305144375;n.a.;288,6405751798;2794,4914610662;872,5984781915;0,7425570748;n.a.;873,3410352663;163,4226622542;n.a.;n.a.;709,9183730122;1553,5909347996;n.a.;2105,7203121334;n.a.;n.a.;34;1,2522;D ;GB;30.09.;GB03984643
STRUCTURED RETAIL PRODUCTS LIMITED;EUR/GBP;2011;0,6051825643;0;0;0,6051825643;1637,0269209702;0;272,7155902227;1364,3113307476;261,6998816379;1637,6321035346;361,1450051117;0,0115492856;361,1334558261;0;n.a.;n.a.;n.a.;1276,4870984229;0;0;1276,4870984229;1637,6321035346;1639,7086650816;n.a.;92,7199744815;1281,8448120027;265,1438785974;-58,7338918096;n.a.;206,4099867878;51,4543771094;n.a.;n.a.;154,9556096784;n.a.;n.a.;989,1385633722;n.a.;n.a.;27;1,15493;D ;GB;30.09.;GB03984643
MINICLIP (UK) LIMITED;EUR/GBP;2013;112,872258019;0;104,7248307364;8,1474272826;1869,5927536517;0;0;1869,5927536517;63,6282665624;1982,4650116707;1006,8992574033;1,1941121622;1005,7051452411;0;n.a.;n.a.;n.a.;975,5657542674;576,2988293805;41,2398576335;358,0270672535;1982,4650116707;3585,2250438955;n.a.;2177,6486151417;1256,1856947189;151,3907340348;n.a.;0,7857258027;150,6050082321;3,5608424677;n.a.;n.a.;147,0441657645;3585,2250438955;n.a.;2298,2802139907;91,3949566698;n.a.;43;1,19411;D ;GB;31.12.;GB06432709
MINICLIP (UK) LIMITED;EUR/GBP;2012;193,766058011;0;193,766058011;0;1155,3151111136;0;0;1155,3151111136;52,643056128;1349,0811691246;745,4668649504;1,1959981854;744,270866765;3,6250704999;0;3,6250704999;3,6250704999;599,9892336743;291,2279501383;140,1219514018;168,6393321342;1349,0811691246;3587,8952883138;n.a.;2120,3660469029;1452,1367447649;15,3924966459;n.a.;n.a.;15,3924966459;84,3358120426;n.a.;n.a.;-68,9433153967;n.a.;n.a.;2450,752173629;98,7212782165;n.a.;40;1,196;D ;GB;31.12.;GB06432709
MINICLIP (UK) LIMITED;EUR/GBP;2011;271,6411316302;0;271,6411316302;0;847,4895974827;0;0;847,4895974827;24,1157665191;1119,1307291129;503,1737596938;1,1949146031;501,9788450908;11,7065783663;0;11,7065783663;11,7065783663;604,2503910528;290,9640956764;54,9015463526;258,3847490238;1119,1307291129;3456,5892180271;n.a.;2009,9228368962;1132,4313235597;314,2350575712;n.a.;n.a.;314,2350575712;91,5232891074;n.a.;n.a.;222,7117684638;n.a.;n.a.;2009,3074558756;100,1971742111;n.a.;40;1,19491;D ;GB;31.12.;GB06432709
STONEHAGE FINANCIAL SERVICES LIMITED;EUR/GBP;2013;16,1746583778;0;0;16,1746583778;1721,0753882675;0;976,4858534215;744,589534846;124,4145065909;1737,2500466453;968,9803291086;1623,5011580714;-654,5208289628;0;n.a.;n.a.;n.a.;768,2697175368;747,1980002755;0;21,0717172613;1737,2500466453;3520,3528356637;n.a.;3858,5033820767;573,5654567178;-911,7160031308;0,4478207655;n.a.;-911,2681823653;79,5322437206;n.a.;n.a.;-990,8004260859;n.a.;n.a.;2372,88635842;n.a.;n.a.;12;1,20706;D ;GB;31.03.;GB01516041
STONEHAGE FINANCIAL SERVICES LIMITED;EUR/GBP;2012;15,8246615476;0;0;15,8246615476;791,9416443136;0;0;791,9416443136;222,7887966369;807,7663058611;736,4289677937;407,4259876054;329,0029801883;0;n.a.;n.a.;n.a.;71,3373380675;0;0;71,3373380675;807,7663058611;2738,5249946662;n.a.;2776,9576652187;275,4967290392;-313,9293995918;0,3991593734;n.a.;-313,5302402184;-77,9376390667;n.a.;n.a.;-235,5926011517;n.a.;n.a.;2603,0363681967;n.a.;n.a.;16;1,18094;D ;GB;31.03.;GB01516041
STONEHAGE FINANCIAL SERVICES LIMITED;EUR/GBP;2011;13,6644656802;0;0;13,6644656802;1291,1625539507;0;0;1291,1625539507;508,4068224684;1304,8270196309;986,5840112126;413,5298824285;573,0541287841;0;n.a.;n.a.;n.a.;318,2430084183;188,6247637051;0;129,6182447132;1304,8270196309;3134,2880140442;n.a.;2794,5402531022;36,2875468424;303,4602140995;0,165411953;n.a.;303,6256260524;78,5982463203;n.a.;n.a.;225,0273797322;n.a.;n.a.;3896,434375096;n.a.;n.a.;20;1,19864;D ;GB;31.03.;GB01516041
CLEANER AIR SOLUTIONS UK LTD;EUR/GBP;2013;122,752342049;0;122,752342049;0;455,0259923005;23,8822432438;272,6050596189;158,5386894377;56,2988061109;577,7783343494;174,0346829665;0,1194112162;173,9152717503;25,0966553128;25,0966553128;0;0;378,6469960702;16,4488950342;261,3839876308;100,8141134052;577,7783343494;3518,1744518763;n.a.;2933,4893727807;592,0861862768;-7,4011071813;n.a.;9,7953020665;-17,1964092477;n.a.;n.a.;n.a.;-17,1964092477;n.a.;n.a.;802,5365137415;107,674287777;n.a.;20;1,19411;+ ;GB;31.12.;GB06618154
CLEANER AIR SOLUTIONS UK LTD;EUR/GBP;2012;2444,6202909325;0;2444,6202909325;0;2723,2878681278;1212,7421599832;789,3588023559;721,1869057888;39,4679401178;5167,9081590603;191,359709662;0;191,359709662;45,4479310447;45,4479310447;0;0;4931,1005183536;46,6439292301;1469,8817698415;3414,5748192819;5167,9081590603;19672,9741514426;n.a.;16351,6871906209;3971,9099736726;-650,6230128509;n.a.;40,6639383032;-691,2869511541;-177,0077314374;n.a.;n.a.;-514,2792197167;n.a.;n.a.;1835,8572145702;187,7717151059;n.a.;46;1,196;+ ;GB;31.12.;GB06618154
CLEANER AIR SOLUTIONS UK LTD;EUR/GBP;2011;2644,3460165911;0;2644,3460165911;0;12147,5018547966;6955,5979044631;3213,1253676518;1979,9734972849;151,7541545897;14791,8478713877;773,1097481855;0;773,1097481855;204,3303971248;114,7118018946;89,6185952302;89,6185952302;13815,6026406806;84,8389368179;2626,4222975451;11105,5363209207;14793,0427859908;33028,6345434226;n.a.;30746,3476515613;2118,5835912409;164,8982152235;n.a.;21,5084628552;143,3897523682;39,4321819013;n.a.;n.a.;103,957570467;n.a.;n.a.;1349,0585868646;68,1101323749;n.a.;74;1,19491;+ ;GB;31.12.;GB06618154
THE QUILLER CONSULTANCY LIMITED;EUR/GBP;2013;6,058925111;0;6,058925111;0;1564,4075377995;0;707,2475573107;857,1599804888;241,8793595736;1570,4664629105;804,705021428;11,9411216219;792,7638998061;0;n.a.;n.a.;n.a.;765,7614414825;10,7016331976;64,4653391881;690,5944690968;1570,4664629105;3511,443241618;n.a.;45,4216384254;2254,8706545585;1211,150948634;7,3605073677;n.a.;1218,5114560018;283,0272705705;n.a.;n.a.;935,4841854313;883,9283928286;n.a.;1686,398036289;6,7300161461;n.a.;12;1,19411;D ;GB;31.12.;GB03609582
THE QUILLER CONSULTANCY LIMITED;EUR/GBP;2012;12,8091405655;0;12,8091405655;0;2295,9445605088;0;901,7981797587;1394,14638075;168,1118969345;2308,7537010743;586,613189969;11,9599818539;574,6532081151;0;n.a.;n.a.;n.a.;1722,1405111053;0;11,9061619355;1710,2343491698;2308,7537010743;4145,0139670329;n.a.;29,9477945621;3084,5020440805;1030,5641283903;10,3525602927;n.a.;1040,9166886831;258,3894279621;n.a.;n.a.;782,527260721;1258,2845748845;n.a.;2542,5426423611;9,1015461908;n.a.;11;1,196;D ;GB;31.12.;GB03609582
THE QUILLER CONSULTANCY LIMITED;EUR/GBP;2011;11,3815615942;0;11,3815615942;0;2931,7863091031;0;553,4019950338;2378,3843140693;162,5741063205;2943,1678706973;521,2121905418;11,9491460307;509,2630445111;0;n.a.;n.a.;n.a.;2421,9556801556;1,7923719046;12,1403323672;2408,0229758838;2943,1678706973;4818,8348824511;n.a.;17,6237954807;3706,6358529506;1094,5752340198;11,5321208342;n.a.;1106,1073548541;305,4715538723;n.a.;n.a.;800,6358009818;1214,3463043438;n.a.;3132,6383098183;8,1875548602;n.a.;12;1,19491;D ;GB;31.12.;GB03609582
MYCRONIC LTD;EUR/GBP;2013;4,2355158393;0;4,2355158393;0;3327,0030652702;340,6646764152;999,4420269504;1986,8963619046;1897,5385605835;3331,2385811095;851,1512080886;28,6586918926;822,492516196;11,175695726;0;11,175695726;11,175695726;2468,9116772949;1658,0402606613;8,6764189705;802,1949976631;3331,2385811095;3441,3858751744;n.a.;2055,0288195428;1187,4776750186;198,879380613;1,6872804852;n.a.;200,5666610982;45,66165497;n.a.;n.a.;154,9050061282;86,4238677386;n.a.;698,9496718957;8,8830003745;n.a.;10;1,19411;D ;GB;31.12.;GB02524693
