FY;Year;Comp;II;Curr;RepCurr;Xrate;FA;FA_IT;FA_TA;FA_Ot;CA;CA_Inv;CA_Rec;CA_Ot;CA_Csh;Equity;NCL;NCL_LTD;NCL_Ot;NCL_Prov;CL;CL_Loans;CL_Payables;CL_Ot;HC;Turnover;Sales;CoS;Gprofit;OpEx;EBIT;FiInc;FiEx;FinRes;PBTExt;Tax;PAT;ExtRev;ExtExp;ExtRes;NetInc;Xsales;MatCoS;SW;Dep;IntExp;RaDExp;CF;AV;EBITDA
31/12/2010;2010;ARTELIA DENMARK APS;A-;DKK;kEUR;0,133260;0,00000000;n.a.;n.a.;n.a.;1742,53479597;n.a.;1368,73469635;n.a.;247,33439747;-47,17477193;296,50810042;n.a.;n.a.;n.a.;1493,33472956;n.a.;1396,58646848;n.a.;1,00000000;6164,83650937;n.a.;5654,84257666;509,99393272;366,33742384;143,65650888;0,93283447;14,65882744;-13,72599296;129,93051591;32,51594450;97,41457142;n.a.;n.a.;n.a.;97,54783349;n.a.;n.a.;76,35916474;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
31/12/2009;2009;ARTELIA DENMARK APS;A-;DKK;kEUR;0,133750;0,00000000;n.a.;n.a.;n.a.;1204,91757126;n.a.;499,14001287;n.a.;594,36715359;-145,24813879;144,31191690;n.a.;n.a.;n.a.;1205,98753913;n.a.;1058,46571861;n.a.;1,00000000;3154,80027427;n.a.;2920,20981806;234,59045621;372,34881989;-137,75836368;0,66872992;11,36840865;-10,69967873;-148,45804241;-37,18138360;-111,27665882;n.a.;n.a.;n.a.;-111,27665882;n.a.;n.a.;30,22659242;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
31/12/2012;2012;WISSENBERG A/S RADGIVENDE INGENIORER F.R.I.;A-;DKK;kEUR;0,133930;492,59259399;266,65357657;224,73365218;1,20536524;1568,98375167;n.a.;1297,37478467;n.a.;225,40329954;254,59992419;247,50166224;13,25901762;234,24264462;234,24264462;1559,34082976;n.a.;428,57430690;n.a.;44,00000000;6106,24636704;n.a.;1937,15586719;4169,09049985;4062,48264100;106,60785884;0,80357683;6,96433249;-6,16075566;100,44710318;24,64302265;75,80408053;n.a.;n.a.;n.a.;75,80408053;n.a.;n.a.;3430,73732674;105,40249360;n.a.;n.a.;181,20657414;n.a.;212,01035244
31/12/2011;2011;WISSENBERG A/S RADGIVENDE INGENIORER F.R.I.;A-;DKK;kEUR;0,134510;536,70644091;297,67703101;237,81879387;1,21061603;1303,16090214;n.a.;992,16709477;n.a.;272,52312012;253,69131518;230,15155900;n.a.;n.a.;210,51267670;1355,88995598;n.a.;232,97632974;n.a.;37,00000000;4520,44026395;n.a.;1359,11826540;3161,32199855;2967,48892052;193,83307803;1,34512892;8,74333801;-7,39820909;186,43486895;47,34853815;139,08633080;n.a.;n.a.;n.a.;139,08633080;n.a.;n.a.;2855,43968110;112,04923942;n.a.;n.a.;251,13557022;n.a.;305,88231745
31/12/2010;2010;WISSENBERG A/S RADGIVENDE INGENIORER F.R.I.;A-;DKK;kEUR;0,133260;529,58345665;402,85123036;125,53286768;1,19935861;901,78441147;n.a.;679,10349650;n.a.;161,24710180;113,40601953;161,64688800;n.a.;n.a.;161,64688800;1156,18169852;n.a.;239,73845962;n.a.;37,00000000;4146,44923346;n.a.;1417,77513723;2728,67409623;2865,80076380;-137,12666756;15,19187571;3,33155169;11,86032402;-125,26634355;-31,05006175;-94,21628180;n.a.;n.a.;n.a.;-94,21628180;n.a.;n.a.;2748,39688224;117,40388156;n.a.;n.a.;23,18759976;n.a.;-19,72278601
31/12/2009;2009;WISSENBERG A/S RADGIVENDE INGENIORER F.R.I.;A-;DKK;kEUR;0,133750;1408,34521316;453,66637826;161,56514886;793,11368604;1463,31481265;n.a.;1086,55237528;n.a.;337,03988007;1107,41674881;193,39669309;n.a.;n.a.;193,39669309;1570,71283793;n.a.;170,65987578;n.a.;37,00000000;4641,25314217;n.a.;1513,60330269;3127,64983948;2954,58253598;173,06730350;2,13993575;5,61733133;-3,47739559;169,58990791;42,39747698;127,19243093;n.a.;n.a.;n.a.;127,19243093;n.a.;n.a.;2808,79941325;145,78312273;n.a.;n.a.;272,97555366;n.a.;318,85042623
31/12/2012;2012;DANAK DEN DANSKE AKKREDITERINGSFOND; U;DKK;kEUR;0,133930;93,48277069;0,00000000;38,57168762;54,91108307;1727,69017469;n.a.;591,43254352;n.a.;925,72050291;1230,81183763;n.a.;n.a.;n.a.;n.a.;590,62896670;n.a.;71,38440799;n.a.;n.a.;3893,99936660;n.a.;1335,27682494;2558,72254167;2558,18682378;0,53571788;16,20546598;4,15181360;12,05365238;12,58937027;7,36612090;5,22324937;n.a.;n.a.;n.a.;5,22324937;n.a.;n.a.;2525,50803288;32,67879090;n.a.;n.a.;37,90204027;n.a.;33,21450878
31/12/2011;2011;DANAK DEN DANSKE AKKREDITERINGSFOND; U;DKK;kEUR;0,134510;118,37134536;0,00000000;62,68300789;55,68833748;1712,61814678;n.a.;591,31867525;n.a.;728,52182555;1230,92747889;0,00000000;n.a.;n.a.;n.a.;600,06201326;n.a.;84,07055779;n.a.;29,00000000;3947,28082919;n.a.;1280,42822331;2666,85260588;2522,92381095;143,92879493;11,97164743;3,22830942;8,74333801;152,67213294;37,79812278;114,87401016;n.a.;n.a.;n.a.;114,87401016;n.a.;n.a.;2488,48851048;34,43530047;n.a.;n.a.;149,30931063;n.a.;178,36409540
31/12/2010;2010;DANAK DEN DANSKE AKKREDITERINGSFOND; U;DKK;kEUR;0,133260;150,05308812;0,00000000;95,28237834;54,77070978;1713,48366524;n.a.;957,08816952;n.a.;437,23284380;1105,67537490;0,00000000;n.a.;n.a.;n.a.;757,86137846;n.a.;172,17459134;n.a.;30,00000000;3904,04553249;n.a.;1304,23585563;2599,80967686;2512,78954672;87,02013014;6,13005511;2,26545515;3,86459996;90,88473011;22,78781356;68,09691655;n.a.;n.a.;n.a.;68,09691655;n.a.;n.a.;2499,19681582;13,72599296;n.a.;n.a.;81,82290951;n.a.;100,74612311
31/12/2009;2009;DANAK DEN DANSKE AKKREDITERINGSFOND; U;DKK;kEUR;0,133750;80,91632041;0,00000000;28,88913258;52,02718784;1738,43030206;n.a.;818,12418508;n.a.;876,70492614;1041,34623264;n.a.;n.a.;n.a.;n.a.;778,13413582;n.a.;107,39802528;n.a.;33,00000000;3889,33321925;n.a.;1342,14095100;2547,19226825;2547,86099817;-0,66872992;9,76345684;0,66872992;9,09472692;8,42599700;2,27368173;6,15231527;n.a.;n.a.;n.a.;6,15231527;n.a.;n.a.;2527,53160858;20,32938959;n.a.;n.a.;26,48170486;n.a.;19,66065967
