Company;Currency;Year;Fixed Assets;FxAInt;FxATan;FxAOth;CurrAss;CurrInv;CurrARec;CurrAssOth;Cash;TAssets;Equity;Capital;EquOht;NCLiabs;NCLtDebt;NCLiabOth;Provisions;CLiabs;CLoans;CAPay;CLiaboth;TEaLiab;Turnover;Sales;CoS;OthOpEx;Ebit;FinInc;FinExp;PBT;Tax;ExtOrdRev;ExtOrdExp;NetInc;Exp;MatCost;SalWage;Dep;RaD;HdCnt;ExRate;II;Cty;FYE;BvDID
PAGE PROTECTIVE SERVICES LTD;EUR/GBP;2013;1500,164768073;1492,9983758688;7,1663922042;0;2822,3641297424;0;2293,2455053345;530,3130231086;124,2174648723;4322,5288978154;827,7182995817;0;827,7182995817;0;n.a.;n.a.;n.a.;3496,0049969344;3216,5157009718;52,5535428306;226,9357531321;4323,7232965161;12309,4730093633;n.a.;12905,4779610101;971,0461436651;-1567,0510953119;1,1943987007;n.a.;-1565,8566966112;n.a.;n.a.;n.a.;-1565,8566966112;n.a.;n.a.;493,2866633871;151,6886349883;n.a.;6;1,1944;D ;GB;31.12.;GB03336127
PAGE PROTECTIVE SERVICES LTD;EUR/GBP;2012;1652,8694922058;1644,4975049081;8,3719872977;0;1728,2173778853;0;1058,4583940681;668,5629856317;361,1914519871;3381,0868700911;2396,780363517;0;2396,780363517;0;n.a.;n.a.;n.a.;983,1105083887;407,8353812172;17,9399727808;557,3351543907;3379,8908719057;14586,3938689886;n.a.;11552,14647266;1307,2260166288;1727,0213796999;31,0959528201;11,9599818539;1746,1573506661;388,699410251;n.a.;n.a.;1357,4579404151;n.a.;n.a.;632,6830400701;151,8917695442;n.a.;8;1,196;D ;GB;31.12.;GB03336127
PAGE PROTECTIVE SERVICES LTD;EUR/GBP;2011;1803,1261360307;1792,3719046031;10,7542314276;0;4580,1076735624;0;2747,108672455;1832,9990011074;1225,9823827485;6383,2338095931;2657,4900772248;0;2657,4900772248;0;n.a.;n.a.;n.a.;3724,5488177652;2754,2781600734;188,7965072849;781,4741504069;6382,0388949901;12753,3235585525;n.a.;12635,0270128487;1033,6011316545;-915,3045859506;n.a.;114,7118018946;-1028,8214732422;-157,7287276051;n.a.;n.a.;-871,0927456371;n.a.;n.a.;457,6522929753;152,9490691928;n.a.;6;1,19491;D ;GB;31.12.;GB03336127
SATRA TECHNOLOGY CENTRE LIMITED;EUR/GBP;2013;9723,5998223585;0;9723,5998223585;0;6186,9852696004;1000,9061111825;2526,1532519701;2659,9259064479;16,7215818097;15910,5850919589;5414,2093102507;5971,9935034753;-557,7841932246;5734,308162037;4658,1549327107;1076,1532293263;217,3805635265;4762,0676196712;63,3031311368;805,0247242685;3893,7397642659;15910,5850919589;12121,9524133542;n.a.;2228,747975497;9335,4202446326;557,7841932246;128,9950596751;173,1878116008;513,5914412989;17,9159805104;n.a.;n.a.;495,6754607885;n.a.;n.a.;6415,1154214332;988,9621241755;n.a.;185;1,1944;D ;GB;31.12.;GB03856296
SATRA TECHNOLOGY CENTRE LIMITED;EUR/GBP;2012;9301,2778877603;0;9301,2778877603;0;6048,1628235057;973,5425229056;2286,7485304613;2787,8717701388;25,1159618931;15349,440711266;5836,4711446921;5979,9909269386;-143,5197822465;4839,0086580787;4382,1373512606;456,8713068181;216,4756715552;4673,9609084952;74,151887494;694,8749457103;3904,9340752909;15349,440711266;11328,4948119925;n.a.;1994,9249732267;8624,3429148308;709,2269239349;98,0718512018;159,0677586566;648,2310164801;168,6357441397;n.a.;n.a.;479,5952723405;n.a.;n.a.;5861,5871065852;912,5466154508;n.a.;175;1,196;D ;GB;31.12.;GB03856296
SATRA TECHNOLOGY CENTRE LIMITED;EUR/GBP;2011;9161,4102617279;0;9161,4102617279;0;5705,7172296532;759,9656875517;2284,6767210674;2661,0748210341;25,0932066644;14867,1274913811;5187,1242919213;5974,5730153436;-787,4487234223;5484,6580280854;4647,0228913343;837,6351367512;216,2795431554;4195,3451713743;46,6016695197;505,4488770981;3643,2946247565;14867,1274913811;10520,028165417;n.a.;1939,3464007805;8091,9616919814;488,7200726551;93,2033390394;161,3134714143;420,6099402802;50,1864133289;n.a.;n.a.;370,4235269513;n.a.;n.a.;5626,8528658506;831,6605637358;n.a.;169;1,19491;D ;GB;31.12.;GB03856296
SMITHERS RAPRA AND SMITHERS PIRA LIMITED;EUR/GBP;2013;2610,9555597194;243,6573349418;2367,2982247776;0;3346,7051593476;0;2148,7232625504;1197,9818967972;679,6128606955;5957,660719067;74,0527194431;0;74,0527194431;3028,9951049627;2799,6705544292;229,3245505335;229,3245505335;2854,6128946612;551,8121997211;629,4481152663;1673,3525796738;5957,660719067;12110,0084263472;n.a.;3488,8386047303;7398,1055521052;1223,0642695117;n.a.;23,8879740139;1199,1762954978;-10,7495883063;n.a.;n.a.;1209,9258838041;3642,9160371199;n.a.;6165,4860929879;564,9505854288;1058,2372488158;149;1,1944;D ;GB;31.12.;GB05761324
SMITHERS RAPRA AND SMITHERS PIRA LIMITED;EUR/GBP;2012;2716,1118790155;264,3155989707;2451,7962800448;0;4671,5689121244;37,075943747;2872,7876413013;1761,7053270761;1195,9981853877;7387,6807911399;-1137,3942743037;0;-1137,3942743037;5320,99592679;5098,5402643078;222,4556624821;222,4556624821;3204,0791386537;792,9467969121;657,7990019632;1753,3333397784;7387,6807911399;11107,2351476957;n.a.;3367,9308900518;7262,1009816742;477,2032759697;n.a.;11,9599818539;465,2432941158;n.a.;n.a.;n.a.;465,2432941158;3782,9422603814;n.a.;5437,0077507726;442,5193285935;n.a.;141;1,196;D ;GB;31.12.;GB05761324
SMITHERS RAPRA AND SMITHERS PIRA LIMITED;EUR/GBP;2011;804,7212140096;284,1028960256;520,618317984;0;2733,0755953566;151,7159173224;1764,3141148084;817,0455632257;404,0472289671;3537,7968093662;-1600,7255259899;0,0023898292;-1600,7279158191;2396,438278807;2396,438278807;0;0;2742,0840565491;883,3274762579;468,8414733185;1389,9151069727;3537,7968093662;8950,2126903793;n.a.;3638,0513394783;5947,3600301733;-635,1986792723;0,1159067165;11,3755870212;-646,458359577;179,2371904603;n.a.;n.a.;-825,6955500373;5083,2862129147;n.a.;4442,7928670362;227,4902319614;n.a.;114;1,19491;D ;GB;31.12.;GB05761324
BOURN HALL LIMITED;EUR/GBP;2013;856,3838683984;0;295,0164790717;561,3673893267;14073,5998902899;26,2767714153;874,2998489088;13173,0232699658;180,354203805;14929,9837586883;11295,4285124732;4733,4020508545;6562,0264616187;0;n.a.;n.a.;n.a.;3635,7496449158;1455,9720161473;985,3789280734;1194,3987006951;14931,178157389;12061,0380796187;n.a.;7767,17475062;3292,9572178163;1002,1005098832;n.a.;31,0543662181;971,0461436651;-78,8303142459;n.a.;n.a.;1049,876457911;n.a.;n.a.;3991,6804577229;114,6622752667;n.a.;76;1,1944;D ;GB;31.12.;GB01897182
